"skill1","skill2","name1","name2","weight","count","occupation_count"
"1.A.1.a.1","4.A.4.b.3","Oral Comprehension","Training and Teaching Others",103.921168058448,91,91
"1.A.1.a.1","4.A.4.b.4","Oral Comprehension","Guiding, Directing, and Motivating Subordinates",109.743366385834,98,98
"1.A.1.a.1","4.A.4.b.5","Oral Comprehension","Coaching and Developing Others",111.447564784576,98,98
"1.A.1.a.1","4.A.4.b.6","Oral Comprehension","Providing Consultation and Advice to Others",129.268473877463,115,115
"1.A.1.a.1","4.A.4.c.1","Oral Comprehension","Performing Administrative Activities",134.585805947496,117,117
"1.A.1.a.1","4.A.4.c.2","Oral Comprehension","Staffing Organizational Units",110.41997787032,96,96
"1.A.1.a.1","4.A.4.c.3","Oral Comprehension","Monitoring and Controlling Resources",101.500275918115,91,91
"1.A.1.a.2","1.A.1.a.3","Written Comprehension","Oral Expression",149.556681511646,131,131
"1.A.1.a.2","1.A.1.a.4","Written Comprehension","Written Expression",161.148783454674,137,137
"1.A.1.a.2","1.A.1.b.1","Written Comprehension","Fluency of Ideas",150.280991459024,131,131
"1.A.1.a.2","1.A.1.b.2","Written Comprehension","Originality",147.317336191523,128,128
"1.A.1.a.2","1.A.1.b.3","Written Comprehension","Problem Sensitivity",107.304697735965,97,97
"1.A.1.a.2","1.A.1.b.4","Written Comprehension","Deductive Reasoning",141.754186679041,125,125
"1.A.1.a.2","1.A.1.b.5","Written Comprehension","Inductive Reasoning",141.41608437503,124,124
"1.A.1.a.2","1.A.1.b.6","Written Comprehension","Information Ordering",113.198099591796,101,101
"1.A.1.a.2","1.A.1.b.7","Written Comprehension","Category Flexibility",116.000535627091,103,103
"1.A.1.a.2","1.A.1.c.1","Written Comprehension","Mathematical Reasoning",126.759956155505,108,108
"1.A.1.a.2","1.A.1.c.2","Written Comprehension","Number Facility",116.280455105167,100,100
"1.A.1.a.2","1.A.1.d.1","Written Comprehension","Memorization",136.54207099916,120,120
"1.A.1.a.2","1.A.1.e.1","Written Comprehension","Speed of Closure",105.4851257725,94,94
"1.A.1.a.2","1.A.1.e.2","Written Comprehension","Flexibility of Closure",86.2875743779027,77,77
"1.A.1.a.2","1.A.1.e.3","Written Comprehension","Perceptual Speed",75.0175866318556,67,67
"1.A.1.a.2","1.A.1.f.1","Written Comprehension","Spatial Orientation",24.7727099095015,21,21
"1.A.1.a.2","1.A.1.f.2","Written Comprehension","Visualization",59.3151902871894,53,53
"1.A.1.a.2","1.A.1.g.1","Written Comprehension","Selective Attention",76.9899547990601,69,69
"1.A.1.a.2","1.A.1.g.2","Written Comprehension","Time Sharing",87.1004942840403,78,78
"1.A.1.a.2","1.A.2.a.1","Written Comprehension","Arm-Hand Steadiness",29.322635929755,26,26
"1.A.1.a.2","1.A.2.a.2","Written Comprehension","Manual Dexterity",27.3223312470501,24,24
"1.A.1.a.2","1.A.2.a.3","Written Comprehension","Finger Dexterity",39.4821981833234,35,35
"1.A.1.a.2","1.A.2.b.1","Written Comprehension","Control Precision",28.3282128183686,25,25
"1.A.1.a.2","1.A.2.b.2","Written Comprehension","Multilimb Coordination",23.4779334772388,21,21
"1.A.1.a.2","1.A.2.b.3","Written Comprehension","Response Orientation",25.4884276692882,23,23
