"O.NET.SOC.Code";"Element.ID";"Element.Name";"Data.Value";"occupation_sum";"skill_sum";"rca";"effective_use"
"13-1074.00";"2.C.9.b";"Communications and Media";2,31;358,23;35,31;1,4023481494294;TRUE
"13-1074.00";"4.A.1.a.1";"Getting Information";2,69;358,23;72,51;0,795235864708836;FALSE
"13-1074.00";"4.A.1.a.2";"Monitoring Processes, Materials, or Surroundings";2,89;358,23;68,42;0,905433077730098;FALSE
"13-1074.00";"4.A.1.b.1";"Identifying Objects, Actions, and Events";2,87;358,23;70,01;0,87874608363759;FALSE
"13-1074.00";"4.A.1.b.2";"Inspecting Equipment, Structures, or Materials";3,41;358,23;75,14;0,972802709765209;FALSE
"13-1074.00";"4.A.1.b.3";"Estimating the Quantifiable Characteristics of Products, Events, or Information";2,54;358,23;60,52;0,899655792776702;FALSE
"13-1074.00";"4.A.2.a.1";"Judging the Qualities of Objects, Services, or People";3,27;358,23;62,53;1,12098785498127;TRUE
"13-1074.00";"4.A.2.a.2";"Processing Information";2,8;358,23;56,42;1,06381603678799;TRUE
"13-1074.00";"4.A.2.a.3";"Evaluating Information to Determine Compliance with Standards";3,67;358,23;64,2;1,22538516866807;TRUE
"13-1074.00";"4.A.2.a.4";"Analyzing Data or Information";2,38;358,23;52,3;0,975476590367907;FALSE
"13-1074.00";"4.A.2.b.1";"Making Decisions and Solving Problems";3,02;358,23;71,34;0,907434781141848;FALSE
"13-1074.00";"4.A.2.b.2";"Thinking Creatively";1,72;358,23;57,6;0,640099586857605;FALSE
"13-1074.00";"4.A.2.b.3";"Updating and Using Relevant Knowledge";2,26;358,23;62,97;0,769336485616772;FALSE
"13-1074.00";"4.A.2.b.4";"Developing Objectives and Strategies";2,2;358,23;52,59;0,896728749017142;FALSE
"13-1074.00";"4.A.2.b.5";"Scheduling Work and Activities";2,76;358,23;56,86;1,04050413418796;TRUE
"13-1074.00";"4.A.2.b.6";"Organizing, Planning, and Prioritizing Work";2,88;358,23;64,65;0,954916817430479;FALSE
"13-1074.00";"4.A.3.a.1";"Performing General Physical Activities";2,67;358,23;75,24;0,760683608282989;FALSE
"13-1074.00";"4.A.3.a.2";"Handling and Moving Objects";2,13;358,23;77,01;0,592889915477497;FALSE
"13-1074.00";"4.A.3.a.3";"Controlling Machines and Processes";1,75;358,23;67,52;0,555580761214994;FALSE
"13-1074.00";"4.A.3.a.4";"Operating Vehicles, Mechanized Devices, or Equipment";3,52;358,23;63,89;1,18100397334948;TRUE
"13-1074.00";"4.A.3.b.1";"Working with Computers";2,54;358,23;40,44;1,34636915377957;TRUE
"13-1074.00";"4.A.3.b.2";"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment";1,03;358,23;44,76;0,493274574073197;FALSE
"13-1074.00";"4.A.3.b.4";"Repairing and Maintaining Mechanical Equipment";1,89;358,23;60,4;0,670758907897605;FALSE
"13-1074.00";"4.A.3.b.5";"Repairing and Maintaining Electronic Equipment";1,3;358,23;40,23;0,692683596412163;FALSE
"13-1074.00";"4.A.3.b.6";"Documenting/Recording Information";2,45;358,23;54,88;0,956959515235623;FALSE
"13-1074.00";"4.A.4.a.1";"Interpreting the Meaning of Information for Others";1,82;358,23;54,57;0,714922585983615;FALSE
"13-1074.00";"4.A.4.a.2";"Communicating with Supervisors, Peers, or Subordinates";2,65;358,23;72,71;0,781255904612661;FALSE
"13-1074.00";"4.A.4.a.3";"Communicating with People Outside the Organization";1,73;358,23;54,13;0,685093204034932;FALSE
"13-1074.00";"4.A.4.a.4";"Establishing and Maintaining Interpersonal Relationships";3,17;358,23;65,89;1,03129126207089;TRUE
"13-1074.00";"4.A.4.a.5";"Assisting and Caring for Others";2,77;358,23;53,19;1,11632682837638;TRUE
"13-1074.00";"4.A.4.a.6";"Selling or Influencing Others";2,55;358,23;46,19;1,18340609461483;TRUE
"13-1074.00";"4.A.4.a.7";"Resolving Conflicts and Negotiating with Others";2,56;358,23;53,27;1,03014616935745;TRUE
"13-1074.00";"4.A.4.a.8";"Performing for or Working Directly with the Public";2,28;358,23;50,24;0,972807252430607;FALSE
"13-1074.00";"4.A.4.b.1";"Coordinating the Work and Activities of Others";2,8;358,23;61,54;0,975308755209267;FALSE
"13-1074.00";"4.A.4.b.2";"Developing and Building Teams";2,27;358,23;56,29;0,864442661764096;FALSE
"13-1074.00";"4.A.4.b.3";"Training and Teaching Others";3,41;358,23;63,05;1,15934013658617;TRUE
"13-1074.00";"4.A.4.b.4";"Guiding, Directing, and Motivating Subordinates";2,38;358,23;55,69;0,916096708138652;FALSE
"13-1074.00";"4.A.4.b.5";"Coaching and Developing Others";2,76;358,23;57,02;1,03758444528108;TRUE
"13-1074.00";"4.A.4.b.6";"Providing Consultation and Advice to Others";1,78;358,23;49,13;0,77663117833248;FALSE
"13-1074.00";"4.A.4.c.1";"Performing Administrative Activities";3,22;358,23;46,95;1,47015071171278;TRUE
"13-1074.00";"4.A.4.c.2";"Staffing Organizational Units";2,29;358,23;41,68;1,17773981030534;TRUE
"13-1074.00";"4.A.4.c.3";"Monitoring and Controlling Resources";2,81;358,23;49,71;1,2117252007039;TRUE
"33-9093.00";"1.A.1.a.1";"Oral Comprehension";3,5;383,68;66,01;1,06118887071853;TRUE
"33-9093.00";"1.A.1.a.2";"Written Comprehension";3,12;383,68;54,65;1,14261205777611;TRUE
"33-9093.00";"1.A.1.a.3";"Oral Expression";3,5;383,68;64,54;1,08535911614704;TRUE
"33-9093.00";"1.A.1.a.4";"Written Expression";2,75;383,68;52,02;1,05802692771658;TRUE
"33-9093.00";"1.A.1.b.1";"Fluency of Ideas";2,38;383,68;47,3;1,00704804655747;TRUE
"33-9093.00";"1.A.1.b.2";"Originality";2,5;383,68;47,15;1,06118887071853;TRUE
"33-9093.00";"1.A.1.b.3";"Problem Sensitivity";4,12;383,68;66,66;1,23699026491473;TRUE
"33-9093.00";"1.A.1.b.4";"Deductive Reasoning";3,5;383,68;61,66;1,13605380078057;TRUE
"33-9093.00";"1.A.1.b.5";"Inductive Reasoning";3,5;383,68;60,03;1,16690117201616;TRUE
"33-9093.00";"1.A.1.b.6";"Information Ordering";3,25;383,68;62,29;1,04423778825963;TRUE
"33-9093.00";"1.A.1.b.7";"Category Flexibility";3,12;383,68;58,26;1,07181168825034;TRUE
"33-9093.00";"1.A.1.c.1";"Mathematical Reasoning";2;383,68;42,65;0,938523896916833;FALSE
"33-9093.00";"1.A.1.c.2";"Number Facility";2;383,68;43,77;0,914508663548159;FALSE
"33-9093.00";"1.A.1.d.1";"Memorization";2,5;383,68;40,78;1,22695083997986;TRUE
"33-9093.00";"1.A.1.e.1";"Speed of Closure";2,88;383,68;45,02;1,28032837967668;TRUE
"33-9093.00";"1.A.1.e.2";"Flexibility of Closure";3,5;383,68;55,88;1,25356258690283;TRUE
"33-9093.00";"1.A.1.e.3";"Perceptual Speed";3,25;383,68;55,15;1,1794301329228;TRUE
"33-9093.00";"1.A.1.f.1";"Spatial Orientation";1,25;383,68;41,27;0,606191607152637;FALSE
"33-9093.00";"1.A.1.f.2";"Visualization";2,62;383,68;58,52;0,896048152880875;FALSE
"33-9093.00";"1.A.1.g.1";"Selective Attention";3,62;383,68;60,04;1,20670819467589;TRUE
"33-9093.00";"1.A.1.g.2";"Time Sharing";2,75;383,68;50,66;1,08643033517206;TRUE
"33-9093.00";"1.A.2.a.1";"Arm-Hand Steadiness";2,88;383,68;69,55;0,828761806657717;FALSE
"33-9093.00";"1.A.2.a.2";"Manual Dexterity";3;383,68;67,53;0,889116930331029;FALSE
"33-9093.00";"1.A.2.a.3";"Finger Dexterity";3;383,68;64;0,9381572860196;FALSE
"33-9093.00";"1.A.2.b.1";"Control Precision";2,62;383,68;65,01;0,806594953185492;FALSE
"33-9093.00";"1.A.2.b.2";"Multilimb Coordination";3;383,68;66,04;0,909177260830624;FALSE
"33-9093.00";"1.A.2.b.3";"Response Orientation";2,5;383,68;49,3;1,01490984288801;TRUE
"33-9093.00";"1.A.2.b.4";"Rate Control";2,75;383,68;50,16;1,09725998364865;TRUE
"33-9093.00";"1.A.2.c.1";"Reaction Time";2,88;383,68;54,93;1,04934250233104;TRUE
"33-9093.00";"1.A.2.c.2";"Wrist-Finger Speed";2,12;383,68;41,76;1,01603752049121;TRUE
"33-9093.00";"1.A.2.c.3";"Speed of Limb Movement";2,38;383,68;46,15;1,0321424182485;TRUE
"33-9093.00";"1.A.3.a.1";"Static Strength";2,88;383,68;58,52;0,98496896194539;FALSE
"33-9093.00";"1.A.3.a.2";"Explosive Strength";1,88;383,68;26,77;1,40554208260339;TRUE
"33-9093.00";"1.A.3.a.3";"Dynamic Strength";2,38;383,68;48,77;0,976694127581884;FALSE
"33-9093.00";"1.A.3.a.4";"Trunk Strength";2,75;383,68;58,91;0,934282138513266;FALSE
"33-9093.00";"1.A.3.b.1";"Stamina";2,62;383,68;51,51;1,01799141732846;TRUE
"33-9093.00";"1.A.3.c.1";"Extent Flexibility";2,62;383,68;54,89;0,955305846357967;FALSE
"33-9093.00";"1.A.3.c.2";"Dynamic Flexibility";1,25;383,68;24,64;1,01532173811645;TRUE
"33-9093.00";"1.A.3.c.3";"Gross Body Coordination";2,5;383,68;49,53;1,01019695647847;TRUE
"33-9093.00";"1.A.3.c.4";"Gross Body Equilibrium";2,25;383,68;49,02;0,918636265380269;FALSE
"33-9093.00";"1.A.4.a.1";"Near Vision";3,38;383,68;68,89;0,981962472113803;FALSE
"33-9093.00";"1.A.4.a.2";"Far Vision";3,12;383,68;57,41;1,08768069948553;TRUE
"33-9093.00";"1.A.4.a.3";"Visual Color Discrimination";2,88;383,68;56,31;1,02362606380828;TRUE
"33-9093.00";"1.A.4.a.4";"Night Vision";1,12;383,68;35,4;0,633211998699481;FALSE
"33-9093.00";"1.A.4.a.5";"Peripheral Vision";1,38;383,68;38,01;0,726633793749461;FALSE
"33-9093.00";"1.A.4.a.6";"Depth Perception";2,25;383,68;55,92;0,805285224051158;FALSE
"33-9093.00";"1.A.4.a.7";"Glare Sensitivity";1,88;383,68;39,91;0,942780294444819;FALSE
"33-9093.00";"1.A.4.b.1";"Hearing Sensitivity";2,62;383,68;50,87;1,03079885800253;TRUE
"33-9093.00";"1.A.4.b.2";"Auditory Attention";2,88;383,68;52,42;1,09958763168722;TRUE
"33-9093.00";"1.A.4.b.3";"Sound Localization";1,25;383,68;35,27;0,70931464777968;FALSE
"33-9093.00";"1.A.4.b.4";"Speech Recognition";3,38;383,68;61,05;1,10806543331564;TRUE
"33-9093.00";"1.A.4.b.5";"Speech Clarity";3,38;383,68;61,81;1,09444094327649;TRUE
"33-9093.00";"1.C.1.a";"Achievement/Effort";3,33;383,68;72,69;0,916861928722415;FALSE
"33-9093.00";"1.C.1.b";"Persistence";3,59;383,68;73,54;0,977023923650908;FALSE
"33-9093.00";"1.C.1.c";"Initiative";3,59;383,68;74,76;0,96107998054157;FALSE
"33-9093.00";"1.C.2.b";"Leadership";3,44;383,68;69,89;0,985094234225569;FALSE
"33-9093.00";"1.C.3.a";"Cooperation";4,3;383,68;78,19;1,10065603066289;TRUE
"33-9093.00";"1.C.3.b";"Concern for Others";3,85;383,68;73,8;1,04409193891251;TRUE
"33-9093.00";"1.C.3.c";"Social Orientation";3,59;383,68;63,82;1,12582794336082;TRUE
"33-9093.00";"1.C.4.a";"Self-Control";4,44;383,68;76,17;1,16663066997212;TRUE
"33-9093.00";"1.C.4.b";"Stress Tolerance";4,41;383,68;74,53;1,18424577309438;TRUE
"33-9093.00";"1.C.4.c";"Adaptability/Flexibility";4,3;383,68;73,9;1,16455067709785;TRUE
"33-9093.00";"1.C.5.a";"Dependability";4,48;383,68;85,76;1,04550861725567;TRUE
"33-9093.00";"1.C.5.b";"Attention to Detail";4,44;383,68;83,7;1,06167572439398;TRUE
"33-9093.00";"1.C.5.c";"Integrity";4,63;383,68;78,62;1,1786431230108;TRUE
"33-9093.00";"1.C.6";"Independence";3,15;383,68;71,93;0,876465586271613;FALSE
"33-9093.00";"1.C.7.a";"Innovation";2,5;383,68;65,23;0,767055883096407;FALSE
"33-9093.00";"1.C.7.b";"Analytical Thinking";2,63;383,68;65,92;0,798496330819271;FALSE
"33-9093.00";"2.C.1.a";"Administration and Management";2,44;383,68;53,59;0,911256091216151;FALSE
"33-9093.00";"2.C.1.b";"Administrative";1,96;383,68;38,48;1,019425242189;TRUE
"33-9093.00";"2.C.1.c";"Economics and Accounting";1,48;383,68;36,14;0,819611309092201;FALSE
"33-9093.00";"2.C.1.d";"Sales and Marketing";1,26;383,68;39,44;0,639393201019443;FALSE
"33-9093.00";"2.C.1.e";"Customer and Personal Service";3,59;383,68;57,73;1,24459274805626;TRUE
"33-9093.00";"2.C.1.f";"Personnel and Human Resources";1,93;383,68;42,41;0,91080081717473;FALSE
"33-9093.00";"2.C.10";"Transportation";2,44;383,68;47,03;1,03836304333986;TRUE
"33-9093.00";"2.C.2.a";"Production and Processing";1,41;383,68;52,41;0,538442495009913;FALSE
"33-9093.00";"2.C.2.b";"Food Production";1;383,68;25,76;0,776941851776066;FALSE
"33-9093.00";"2.C.3.a";"Computers and Electronics";2;383,68;37,55;1,06599318784295;TRUE
"33-9093.00";"2.C.3.b";"Engineering and Technology";1,41;383,68;44,65;0,632021750581625;FALSE
"33-9093.00";"2.C.3.c";"Design";1,11;383,68;44,4;0,500350552543786;FALSE
"33-9093.00";"2.C.3.d";"Building and Construction";1,07;383,68;48,87;0,438203471431841;FALSE
"33-9093.00";"2.C.3.e";"Mechanical";1,74;383,68;59,59;0,584400041232548;FALSE
"33-9093.00";"2.C.4.a";"Mathematics";1,7;383,68;60,17;0,565461817732715;FALSE
"33-9093.00";"2.C.4.b";"Physics";1,19;383,68;38,22;0,623147208296291;FALSE
"33-9093.00";"2.C.4.c";"Chemistry";1,37;383,68;42,24;0,649129031235784;FALSE
"33-9093.00";"2.C.4.d";"Biology";1,07;383,68;27,17;0,788185633009719;FALSE
"33-9093.00";"2.C.4.e";"Psychology";2,37;383,68;39,6;1,19780889851391;TRUE
"33-9093.00";"2.C.4.f";"Sociology and Anthropology";1,81;383,68;28,59;1,2670647080857;TRUE
"33-9093.00";"2.C.4.g";"Geography";1,26;383,68;32,16;0,784131462941755;FALSE
"33-9093.00";"2.C.5.a";"Medicine and Dentistry";1,15;383,68;32,84;0,700856437789713;FALSE
"33-9093.00";"2.C.5.b";"Therapy and Counseling";1,37;383,68;29,87;0,91795146566453;FALSE
"33-9093.00";"2.C.6";"Education and Training";2,67;383,68;54,59;0,978886957532083;FALSE
"33-9093.00";"2.C.7.a";"English Language";3,56;383,68;58,4;1,22003285414786;TRUE
"33-9093.00";"2.C.7.b";"Foreign Language";2,07;383,68;32,44;1,27709697135097;TRUE
