"occupation1";"occupation2";"name1";"name2";"weight";"count";"max_count"
"11-2011.00";"51-7011.00";"11-2011.00";"51-7011.00";0,224489795918367;22;98
"11-2011.00";"51-7021.00";"11-2011.00";"51-7021.00";0,275510204081633;27;98
"11-2011.00";"51-7042.00";"11-2011.00";"51-7042.00";0,255102040816327;25;98
"11-2011.00";"51-8031.00";"11-2011.00";"51-8031.00";0,214285714285714;21;98
"11-2011.00";"51-8091.00";"11-2011.00";"51-8091.00";0,285714285714286;28;98
"11-2011.00";"51-8099.01";"11-2011.00";"51-8099.01";0,13265306122449;13;98
"11-2011.00";"51-9011.00";"11-2011.00";"51-9011.00";0,163265306122449;16;98
"11-2011.00";"51-9012.00";"11-2011.00";"51-9012.00";0,204081632653061;20;98
"11-2011.00";"51-9031.00";"11-2011.00";"51-9031.00";0,285714285714286;28;98
"11-2011.00";"51-9032.00";"11-2011.00";"51-9032.00";0,163265306122449;16;98
"11-2011.00";"51-9041.00";"11-2011.00";"51-9041.00";0,0714285714285714;7;98
"11-2011.00";"51-9051.00";"11-2011.00";"51-9051.00";0,163265306122449;16;98
"11-2011.00";"51-9082.00";"11-2011.00";"51-9082.00";0,36734693877551;36;98
"11-2011.00";"51-9083.00";"11-2011.00";"51-9083.00";0,336734693877551;33;98
"11-2011.00";"51-9111.00";"11-2011.00";"51-9111.00";0,193877551020408;19;98
"11-2011.00";"51-9123.00";"11-2011.00";"51-9123.00";0,255102040816327;25;98
"11-2011.00";"51-9151.00";"11-2011.00";"51-9151.00";0,448979591836735;44;98
"11-2011.00";"51-9162.00";"11-2011.00";"51-9162.00";0,346938775510204;34;98
"11-2011.00";"51-9191.00";"11-2011.00";"51-9191.00";0,142857142857143;14;98
"11-2011.00";"51-9192.00";"11-2011.00";"51-9192.00";0,224489795918367;22;98
"11-2011.00";"51-9193.00";"11-2011.00";"51-9193.00";0,153061224489796;15;98
"11-2011.00";"51-9194.00";"11-2011.00";"51-9194.00";0,285714285714286;28;98
"11-2011.00";"51-9195.03";"11-2011.00";"51-9195.03";0,214285714285714;21;98
"11-2011.00";"51-9195.04";"11-2011.00";"51-9195.04";0,285714285714286;28;98
"11-2011.00";"51-9196.00";"11-2011.00";"51-9196.00";0,214285714285714;21;98
"11-2011.00";"51-9198.00";"11-2011.00";"51-9198.00";0,122448979591837;12;98
"11-2011.00";"53-1041.00";"11-2011.00";"53-1041.00";0,336734693877551;33;98
